Gene	sgRNA	eff
CHAF1A	s_11546	0.824
SLC26A6	s_51517	0.32
SLC26A6	s_51518	0.913
SLC26A6	s_51519	0.734
DDB1	s_15305	0.694
DDB1	s_15306	0.839
DDB1	s_15307	0.74
FAM174B	s_19608	1
FAM174B	s_19609	0.959
FAM193B	s_19730	0.835
FAM193B	s_19731	0.619
FAM193B	s_19732	0.872
FAM193B	s_19733	0.68
ZGLP1	s_63129	0.783
ZGLP1	s_63130	0.366
ZGLP1	s_63131	0.949
ZGLP1	s_63132	0.914
TADA2B	s_55211	0.943
TADA2B	s_55212	0.687
TADA2B	s_55213	1
ZNF300	s_63653	0.813
ZNF300	s_63654	0.746
ZNF300	s_63655	0.987
ZNF300	s_63656	0.784
ZNF300	s_63657	0.692
ZNF300	s_63658	0.01
C10orf11	s_6038	0.815
C10orf11	s_6039	0.731
C10orf11	s_6040	0.263
C10orf11	s_6041	0.594
PA2G4	s_39956	0.8
PA2G4	s_39957	0.58
PA2G4	s_39958	0.708
PACS1	s_39990	0.608
PACS1	s_39991	1
PACS1	s_39992	0.92
PACS1	s_39993	0.481
TWSG1	s_59904	0.708
TWSG1	s_59905	0.754
TWSG1	s_59906	0.731
SLCO4A1	s_52359	0.759
SLCO4A1	s_52360	0.0607
CLC	s_12067	1
CLC	s_12068	0.806
LTK	s_32037	0.464
LTK	s_32038	0.941
LTK	s_32039	0.53
CLRN1	s_12428	0.385
CLRN1	s_12429	0.591
CLRN1	s_12430	0.853
CLRN1	s_12431	1
FAM122B	s_19350	0.792
FAM122B	s_19351	0.49
FAM122B	s_19352	0.0776
ZDHHC2	s_62879	1
ZDHHC2	s_62880	0.781
ZDHHC2	s_62881	0.691
ARL5A	s_3566	1
ARL5A	s_3567	0.625
FIBCD1	s_21062	0.729
FIBCD1	s_21063	0.325
FIBCD1	s_21064	1
FIBCD1	s_21065	0.744
OR4S1	s_39231	1
OR4S1	s_39232	0.768
ESRP1	s_18761	0.844
ESRP1	s_18762	1
ESRP1	s_18763	0.502
MAN2A2	s_32516	1
MAN2A2	s_32517	0.709
MAN2A2	s_32518	0.832
MAN2A2	s_32519	0.586
REV1	s_46856	0.17
REV1	s_46857	0.295
REV1	s_46858	0.139
FOXD3	s_21421	0.91
FOXD3	s_21422	1
CHI3L1	s_11647	0.869
CHI3L1	s_11648	0.729
CHI3L1	s_11649	0.0504
CHI3L1	s_11650	0.513
CHI3L1	s_11651	0.811
TRMT112	s_59100	0.537
TRMT112	s_59101	0.941
SERP2	s_49940	0.603
SERP2	s_49941	0.939
SERP2	s_49942	0.329
CD2	s_10282	0.693
CD2	s_10283	0.819
CD2	s_10284	1
CD2	s_10285	0.277
CLEC4C	s_12266	0.991
CLEC4C	s_12267	0.442
CLEC4C	s_12268	0.764
LEPR	s_30819	0.622
LEPR	s_30820	0.956
LEPR	s_30821	0.798
LEPR	s_30822	0.831
FLRT2	s_21217	0.334
FLRT2	s_21218	0.632
PTPRF	s_45192	0.518
PTPRF	s_45193	0.83
PTPRF	s_45194	1
PTPRF	s_45195	0.752
PTPRF	s_45196	1
PTPRF	s_45197	0.693
ENTPD1	s_18305	0.859
ENTPD1	s_18306	0.338
ENTPD1	s_18307	0.787
ENTPD1	s_18308	0.668
ENTPD1	s_18309	0.653
ENTPD1	s_18310	1
ENTPD1	s_18311	0.779
PTCHD2	s_44924	1
PTCHD2	s_44925	0.477
PTCHD2	s_44926	0.608
PTCHD2	s_44927	0.597
PTCHD2	s_44928	0.602
IFT43	s_26770	0.854
IFT43	s_26771	1
IFT43	s_26772	1
IFT43	s_26773	0.62
IFT43	s_26774	0.729
IFT43	s_26775	0.208
CARNS1	s_9144	1
CARNS1	s_9145	0.399
CARNS1	s_9146	1
CARNS1	s_9147	0.974
CARNS1	s_9148	0.83
CARNS1	s_9149	0.894
CARNS1	s_9150	0.815
CARNS1	s_9151	0.469
DPM2	s_16736	0.505
DPM2	s_16737	0.873
DPM2	s_16738	0.808
DPM2	s_16739	0.781
TBC1D13	s_55515	0.458
TBC1D13	s_55516	0.793
TBC1D13	s_55517	0.729
TBC1D13	s_55518	1
ALG5	s_2027	0.967
ALG5	s_2028	0.705
ALG5	s_2029	0.768
HS3ST5	s_26117	0.713
HS3ST5	s_26118	1
HS3ST5	s_26119	0.75
HS3ST5	s_26120	0.474
TBPL2	s_55663	0.574
TBPL2	s_55664	0.65
