Gene	sgRNA	eff
SALL1	s_48925	0.647
SALL1	s_48926	0.822
SALL1	s_48927	1
SALL1	s_48928	0.801
SALL1	s_48929	0.705
ITGAL	s_28040	0.851
ITGAL	s_28041	1
ITGAL	s_28042	0.875
ITGAL	s_28043	0.608
TCF21	s_55813	1
TCF21	s_55814	0.01
TCF21	s_55815	0.746
TCF21	s_55816	1
CERS6	s_11398	0.836
CERS6	s_11399	0.903
CERS6	s_11400	0.555
CERS6	s_11401	0.558
CERS6	s_11402	1
CERS6	s_11403	0.693
CORO1A	s_13155	0.823
CORO1A	s_13156	0.988
CORO1A	s_13157	1
VAMP2	s_61072	0.813
VAMP2	s_61073	0.681
VAMP2	s_61074	0.564
VAMP2	s_61075	0.249
WDR88	s_61875	0.766
WDR88	s_61876	1
WDR88	s_61877	0.521
C9orf139	s_8429	0.744
C9orf139	s_8430	0.828
C9orf139	s_8431	1
C9orf139	s_8432	0.662
ST6GALNAC6	s_54151	1
ST6GALNAC6	s_54152	0.451
TRIP11	s_59065	0.918
TRIP11	s_59066	0.495
TRIP11	s_59067	0.977
SLC16A6	s_51100	0.499
SLC16A6	s_51101	1
SLC16A6	s_51102	1
DVL3	s_17133	0.394
DVL3	s_17134	1
DVL3	s_17135	0.534
DVL3	s_17136	1
SALL4	s_48936	0.802
SALL4	s_48937	0.992
SALL4	s_48938	1
KIAA0182	s_29086	0.834
KIAA0182	s_29087	1
KIAA0182	s_29088	0.654
KIAA0182	s_29089	0.575
KIAA0182	s_29090	0.671
KIAA0182	s_29091	0.522
RELT	s_46777	0.387
RELT	s_46778	0.798
RELT	s_46779	0.742
IER3IP1	s_26623	0.898
IER3IP1	s_26624	1
IER3IP1	s_26625	1
IER3IP1	s_26626	1
POLR2K	s_43088	0.697
POLR2K	s_43089	0.0446
CDKN2A	s_10957	0.415
CDKN2A	s_10958	1
CDKN2A	s_10959	0.438
CDKN2A	s_10960	0.409
CDKN2A	s_10961	1
CDKN2A	s_10962	0.683
CDKN2A	s_10963	0.888
CDKN2A	s_10964	1
STXBP4	s_54607	0.422
STXBP4	s_54608	0.782
STXBP4	s_54609	0.767
PPARD	s_43312	0.263
PPARD	s_43313	0.911
PPARD	s_43314	0.323
PPARD	s_43315	0.626
PPARD	s_43316	0.663
PPARD	s_43317	0.82
PPARD	s_43318	1
TFE3	s_56274	0.904
TFE3	s_56275	1
TFE3	s_56276	0.894
TFE3	s_56277	0.197
SCG3	s_49229	0.764
SCG3	s_49230	0.468
SCG3	s_49231	0.0609
SCG3	s_49232	0.768
SCG3	s_49233	0.01
SCG3	s_49234	1
SCG3	s_49235	1
CMPK1	s_12516	1
CMPK1	s_12517	1
CMPK1	s_12518	0.298
CMPK1	s_12519	0.919
CMPK1	s_12520	0.582
CMPK1	s_12521	1
UHRF1BP1	s_60562	0.74
UHRF1BP1	s_60563	0.219
UHRF1BP1	s_60564	0.383
UHRF1BP1	s_60565	0.762
CCDC115	s_9492	0.737
CCDC115	s_9493	1
JKAMP	s_28281	0.842
JKAMP	s_28282	0.322
JKAMP	s_28283	0.897
JKAMP	s_28284	0.762
JKAMP	s_28285	1
FAM118A	s_19331	0.994
FAM118A	s_19332	0.841
RPL14	s_48122	0.396
RPL14	s_48123	0.657
RPL14	s_48124	0.898
DLG3	s_16110	0.685
DLG3	s_16111	0.43
DLG3	s_16112	1
DLG3	s_16113	1
DLG3	s_16114	0.879
DLG3	s_16115	0.095
DLG3	s_16116	0.334
DLG3	s_16117	0.536
DLG3	s_16118	0.509
NPTXR	s_37746	0.767
NPTXR	s_37747	0.854
NPTXR	s_37748	1
NPTXR	s_37749	1
HIST1H4L	s_25433	0.339
HIST1H4L	s_25434	0.621
RFX3	s_46951	0.591
RFX3	s_46952	1
RFX3	s_46953	0.793
RFX3	s_46954	1
TMEM183A	s_57372	1
TMEM183A	s_57373	0.722
CACNA2D3	s_8719	0.0653
CACNA2D3	s_8720	1
CACNA2D3	s_8721	0.245
RSPH1	s_48527	0.742
RSPH1	s_48528	0.775
RSPH1	s_48529	1
RSPH1	s_48530	0.524
PEX5L	s_41362	0.824
PEX5L	s_41363	0.388
PEX5L	s_41364	0.855
PEX5L	s_41365	0.233
PEX5L	s_41366	0.622
SNCA	s_52760	0.01
SNCA	s_52761	0.376
SNCA	s_52762	1
SNCA	s_52763	0.868
ADAM12	s_951	0.804
ADAM12	s_952	0.297
ADAM12	s_953	0.749
ACOT11	s_642	0.736
ACOT11	s_643	0.796
XKRX	s_62269	0.908
XKRX	s_62270	0.513
XKRX	s_62271	0.813
XKRX	s_62272	0.46
IL20	s_27190	0.748
IL20	s_27191	1
IL20	s_27192	0.239
IL20	s_27193	0.328
IL20	s_27194	1
ZBTB2	s_62586	0.719
ZBTB2	s_62587	0.76
ZBTB2	s_62588	0.01
GNG2	s_23293	0.42
GNG2	s_23294	0.875
GNG2	s_23295	1
PADI4	s_40022	1
PADI4	s_40023	0.877
PADI4	s_40024	1
PADI4	s_40025	1
HIST1H2BB	s_25378	0.565
HIST1H2BB	s_25379	0.869
CARD11	s_9096	0.907
CARD11	s_9097	0.56
CARD11	s_9098	0.248
TAF6L	s_55283	0.872
TAF6L	s_55284	1
TAF6L	s_55285	0.85
NFKB1	s_36876	1
NFKB1	s_36877	1
NFKB1	s_36878	0.275
NFKB1	s_36879	0.926
NFKB1	s_36880	1
OR4K14	s_39208	0.985
OR4K14	s_39209	0.619
TMEM144	s_57213	0.851
TMEM144	s_57214	0.619
TMEM144	s_57215	0.994
TMEM144	s_57216	1
TUBA3D	s_59777	0.32
TUBA3D	s_59778	1
TUBA3D	s_59779	1
SIPA1L2	s_50766	0.081
SIPA1L2	s_50767	0.982
SIPA1L2	s_50768	0.683
SIPA1L2	s_50769	0.104
SIPA1L2	s_50770	0.427
SIPA1L2	s_50771	0.827
CATSPER2	s_9279	0.681
CATSPER2	s_9280	1
CATSPER2	s_9281	0.602
MKRN1	s_34042	0.981
MKRN1	s_34043	0.767
VPS26B	s_61359	1
VPS26B	s_61360	0.752
VPS26B	s_61361	1
OR14J1	s_38959	0.832
OR14J1	s_38960	0.62
NR2E1	s_37825	0.94
NR2E1	s_37826	0.658
NR2E1	s_37827	0.393
C6orf106	s_8109	0.804
C6orf106	s_8110	0.73
C6orf106	s_8111	0.271
C6orf106	s_8112	0.711
SPIN3	s_53530	0.284
SPIN3	s_53531	0.738
CIB4	s_11954	0.115
CIB4	s_11955	0.658
CIB4	s_11956	0.806
CIB4	s_11957	0.705
KRTAP5-2	s_30294	0.924
KRTAP5-2	s_30295	0.337
C12orf39	s_6305	0.432
C12orf39	s_6306	0.501
C12orf39	s_6307	0.01
HLA-A	s_25483	1
HLA-A	s_25484	0.924
HLA-A	s_25485	1
HLA-A	s_25486	1
SUPT16H	s_54751	1
SUPT16H	s_54752	0.255
AMOTL1	s_2250	1
AMOTL1	s_2251	0.734
AMOTL1	s_2252	0.577
EXO1	s_18936	0.562
EXO1	s_18937	0.28
EXO1	s_18938	0.392
EXO1	s_18939	0.791
EXO1	s_18940	1
BABAM1	s_4859	0.807
BABAM1	s_4860	0.969
BABAM1	s_4861	0.759
BABAM1	s_4862	0.816
SOST	s_53104	0.939
SOST	s_53105	0.566
SOST	s_53106	0.647
SOST	s_53107	1
CLCN6	s_12111	1
CLCN6	s_12112	0.452
CLCN6	s_12113	0.289
CLCN6	s_12114	0.876
CLCN6	s_12115	1
CLCN6	s_12116	0.706
LMTK3	s_31290	0.916
LMTK3	s_31291	0.836
LMTK3	s_31292	1
RELL1	s_46767	1
RELL1	s_46768	0.528
RELL1	s_46769	0.545
RELL1	s_46770	1
CADM2	s_8784	0.675
CADM2	s_8785	0.857
CADM2	s_8786	0.7
CADM2	s_8787	0.839
CADM2	s_8788	0.181
C19orf48	s_6930	0.692
C19orf48	s_6931	0.884
PLDN	s_42442	0.65
PLDN	s_42443	0.846
PLDN	s_42444	0.36
GPR161	s_23766	1
GPR161	s_23767	0.888
GPR161	s_23768	0.698
GPR161	s_23769	0.393
SNED1	s_52776	0.944
SNED1	s_52777	0.528
SNED1	s_52778	1
SNED1	s_52779	0.945
IL10RB	s_27019	0.561
IL10RB	s_27020	0.01
IL10RB	s_27021	0.868
IL10RB	s_27022	0.755
FAM65A	s_20069	1
FAM65A	s_20070	1
FAM65A	s_20071	0.811
FAM65A	s_20072	0.671
FAM65A	s_20073	0.724
FAM65A	s_20074	0.578
HDAC5	s_24907	0.727
HDAC5	s_24908	0.82
LRRFIP1	s_31845	1
LRRFIP1	s_31846	0.941
LRRFIP1	s_31847	0.782
LRRFIP1	s_31848	0.647
LRRFIP1	s_31849	0.781
LRRFIP1	s_31850	0.758
LRRFIP1	s_31851	0.128
IVD	s_28196	0.949
IVD	s_28197	0.367
IVD	s_28198	1
IVD	s_28199	1
IVD	s_28200	0.496
TTC9C	s_59652	0.954
TTC9C	s_59653	0.94
TTC9C	s_59654	1
TTC9C	s_59655	0.436
LIFR	s_31012	1
LIFR	s_31013	0.863
LIFR	s_31014	0.587
LIFR	s_31015	0.43
TDRD1	s_55967	0.148
TDRD1	s_55968	0.287
TDRD1	s_55969	0.458
MSR1	s_35064	0.555
MSR1	s_35065	0.6
MSR1	s_35066	0.0839
MSR1	s_35067	0.252
RRBP1	s_48433	1
RRBP1	s_48434	0.827
RRBP1	s_48435	1
GRK4	s_24150	1
GRK4	s_24151	0.939
GRK4	s_24152	0.545
SEMA4C	s_49764	0.633
SEMA4C	s_49765	0.999
SEMA4C	s_49766	0.857
SEMA4C	s_49767	0.594
KHDRBS1	s_29048	0.402
KHDRBS1	s_29049	1
CDC25B	s_10604	0.69
CDC25B	s_10605	0.95
CDC25B	s_10606	0.535
C22orf40	s_7558	1
C22orf40	s_7559	0.727
C22orf40	s_7560	0.836
PRKAR2A	s_44092	1
PRKAR2A	s_44093	0.735
PRKAR2A	s_44094	0.945
PRKAR2A	s_44095	0.461
PRKAR2A	s_44096	0.398
PRKAR2A	s_44097	0.971
DUSP18	s_17060	0.863
DUSP18	s_17061	0.626
FAM177B	s_19629	0.999
FAM177B	s_19630	0.924
TMEM150B	s_57238	1
TMEM150B	s_57239	0.591
TMEM150B	s_57240	0.01
TMEM150B	s_57241	0.632
NMB	s_37285	1
NMB	s_37286	0.431
NMB	s_37287	0.848
NMB	s_37288	0.633
RASGEF1C	s_46195	1
RASGEF1C	s_46196	1
RASGEF1C	s_46197	1
UBE2D3	s_60135	0.835
UBE2D3	s_60136	0.709
UBE2D3	s_60137	0.246
TMCO5A	s_57002	1
TMCO5A	s_57003	0.0918
TMCO5A	s_57004	0.388
OR51B6	s_39251	0.387
OR51B6	s_39252	1
RABL3	s_45842	0.497
RABL3	s_45843	0.827
RABL3	s_45844	0.914
RABL3	s_45845	1
RABL3	s_45846	0.436
AFF3	s_1425	0.604
AFF3	s_1426	1
AFF3	s_1427	0.149
AFF3	s_1428	0.085
AFF3	s_1429	0.573
AFF3	s_1430	0.555
HIST2H2BE	s_25437	0.683
HIST2H2BE	s_25438	0.622
CCNB1	s_10014	1
CCNB1	s_10015	0.271
CCNB1	s_10016	0.764
SLC12A9	s_51011	0.993
SLC12A9	s_51012	1
SLC12A9	s_51013	0.686
SLC12A9	s_51014	0.911
KCTD11	s_28879	0.989
KCTD11	s_28880	1
RABEPK	s_45808	0.132
RABEPK	s_45809	0.01
RABEPK	s_45810	0.667
RABEPK	s_45811	0.725
RABEPK	s_45812	0.533
COPE	s_13083	0.82
COPE	s_13084	0.361
COPE	s_13085	0.78
COPE	s_13086	1
MOCS2	s_34344	0.825
MOCS2	s_34345	0.569
MOCS2	s_34346	0.611
MOCS2	s_34347	0.614
MOCS2	s_34348	0.693
MOCS2	s_34349	0.667
TMPRSS4	s_57951	0.681
TMPRSS4	s_57952	0.326
TMPRSS4	s_57953	1
SPATA16	s_53320	0.96
SPATA16	s_53321	0.38
SPATA16	s_53322	0.01
SPATA16	s_53323	1
SPATA16	s_53324	0.84
SPATA16	s_53325	0.203
ZDHHC12	s_62846	0.562
ZDHHC12	s_62847	1
ZDHHC12	s_62848	0.69
ZDHHC12	s_62849	0.345
SUCLG1	s_54636	0.303
SUCLG1	s_54637	0.967
SUCLG1	s_54638	0.88
SUCLG1	s_54639	0.612
SUCLG1	s_54640	0.637
FAM48A	s_19990	0.129
FAM48A	s_19991	0.651
NR0B1	s_37775	0.721
NR0B1	s_37776	0.947
NR0B1	s_37777	0.945
DOCK11	s_16600	0.661
DOCK11	s_16601	0.676
DOCK11	s_16602	1
FAM110A	s_19285	0.441
FAM110A	s_19286	0.929
C2orf68	s_7703	0.01
C2orf68	s_7704	1
C2orf68	s_7705	0.87
C2orf68	s_7706	1
C2orf68	s_7707	1
C2orf68	s_7708	0.433
FAM20C	s_19829	0.518
FAM20C	s_19830	0.851
FAM20C	s_19831	0.47
CHIC1	s_11666	0.97
CHIC1	s_11667	0.921
CHIC1	s_11668	0.46
CHD1	s_11584	0.634
CHD1	s_11585	0.188
CHD1	s_11586	1
CHD1	s_11587	1
ZACN	s_62522	1
ZACN	s_62523	0.782
ZACN	s_62524	0.243
ZACN	s_62525	0.621
PEX11G	s_41330	0.604
PEX11G	s_41331	0.683
PEX11G	s_41332	0.931
PEX11G	s_41333	0.985
SERPINA7	s_49973	1
SERPINA7	s_49974	0.895
SERPINA7	s_49975	0.889
SERPINA7	s_49976	0.985
RGS19	s_47072	0.641
RGS19	s_47073	0.503
ITCH	s_27973	0.885
ITCH	s_27974	0.411
ITCH	s_27975	0.671
MYO5B	s_35755	0.883
MYO5B	s_35756	1
MYO5B	s_35757	0.632
KRTAP5-5	s_30297	0.422
KRTAP5-5	s_30298	0.719
KLHL23	s_29755	0.57
KLHL23	s_29756	0.922
KLHL23	s_29757	0.945
KLHL23	s_29758	0.401
KLHL23	s_29759	1
KLHL23	s_29760	0.41
NSUN3	s_38049	0.708
NSUN3	s_38050	0.591
NSUN3	s_38051	0.179
NSUN3	s_38052	0.744
NSUN3	s_38053	0.32
NSUN3	s_38054	0.912
RHOBTB2	s_47210	0.668
RHOBTB2	s_47211	0.55
CDK2AP2	s_10881	0.94
CDK2AP2	s_10882	1
CDK2AP2	s_10883	0.589
CTSC	s_14222	1
CTSC	s_14223	0.812
CTSC	s_14224	0.719
CTSC	s_14225	0.898
CTSC	s_14226	0.737
CTSC	s_14227	0.647
CTSC	s_14228	1
HSPB1	s_26295	0.888
HSPB1	s_26296	1
HSPB1	s_26297	0.945
IL12A	s_27030	1
IL12A	s_27031	0.196
IL12A	s_27032	1
IL12A	s_27033	0.0144
IL12A	s_27034	0.55
ADNP2	s_1290	0.785
ADNP2	s_1291	0.879
ADNP2	s_1292	0.546
ADNP2	s_1293	0.68
SCNN1G	s_49383	1
SCNN1G	s_49384	0.926
SCNN1G	s_49385	0.983
SPCS1	s_53420	1
SPCS1	s_53421	0.581
SPCS1	s_53422	0.16
SPCS1	s_53423	0.742
PLK3	s_42600	0.0277
PLK3	s_42601	0.245
PLK3	s_42602	0.596
PLK3	s_42603	0.875
PLK3	s_42604	0.45
GPR143	s_23712	0.298
GPR143	s_23713	0.674
GPR143	s_23714	0.158
GPR143	s_23715	0.994
SLC1A7	s_51201	0.335
SLC1A7	s_51202	0.594
SLC1A7	s_51203	0.812
PNPLA6	s_42880	1
PNPLA6	s_42881	0.735
PNPLA6	s_42882	0.921
WDR76	s_61840	0.127
WDR76	s_61841	0.919
WDR76	s_61842	0.344
KBTBD6	s_28491	1
KBTBD6	s_28492	0.731
INSRR	s_27609	1
INSRR	s_27610	0.979
INSRR	s_27611	0.704
INSRR	s_27612	0.393
INSRR	s_27613	0.682
INSRR	s_27614	1
FAM160B1	s_19511	0.434
FAM160B1	s_19512	0.539
FAM160B1	s_19513	0.01
C2orf73	s_7726	1
C2orf73	s_7727	0.01
C2orf73	s_7728	0.689
C2orf73	s_7729	0.136
C2orf73	s_7730	0.585
C2orf73	s_7731	0.229
ZCCHC24	s_62805	0.663
ZCCHC24	s_62806	0.62
ZCCHC24	s_62807	1
CCDC91	s_9879	0.453
CCDC91	s_9880	0.879
CCDC91	s_9881	0.601
ENTPD2	s_18312	0.578
ENTPD2	s_18313	1
ENTPD2	s_18314	1
ENTPD2	s_18315	0.557
CASS4	s_9261	0.838
CASS4	s_9262	0.755
CASS4	s_9263	0.787
CASS4	s_9264	1
CHST13	s_11876	0.968
CHST13	s_11877	0.99
CHST13	s_11878	0.824
TMEM246	s_57571	0.941
TMEM246	s_57572	0.577
TM9SF3	s_56911	0.626
TM9SF3	s_56912	1
TM9SF3	s_56913	0.476
TM9SF3	s_56914	0.423
MYO6	s_35762	1
MYO6	s_35763	0.247
OR11L1	s_38920	0.364
OR11L1	s_38921	1
OR11L1	s_38922	0.593
MAML3	s_32482	1
MAML3	s_32483	1
MAML3	s_32484	0.575
MAML3	s_32485	0.626
CYP2F1	s_14730	1
CYP2F1	s_14731	0.606
CYP2F1	s_14732	0.617
CYP2F1	s_14733	1
TNRC6A	s_58271	0.01
TNRC6A	s_58272	0.853
OCA2	s_38573	0.0698
OCA2	s_38574	0.587
OCA2	s_38575	0.113
SUN5	s_54743	0.517
SUN5	s_54744	1
SUN5	s_54745	1
SUN5	s_54746	0.596
DNAJC16	s_16425	0.606
DNAJC16	s_16426	0.436
DNAJC16	s_16427	0.81
DNAJC16	s_16428	0.88
DNAJC16	s_16429	0.818
DNAJC16	s_16430	0.634
FAM64A	s_20066	0.38
FAM64A	s_20067	0.447
FAM64A	s_20068	0.87
MIOX	s_33976	0.926
MIOX	s_33977	1
MIOX	s_33978	0.293
AMTN	s_2281	0.212
AMTN	s_2282	0.793
AMTN	s_2283	0.812
AMTN	s_2284	0.648
AMTN	s_2285	0.483
AMTN	s_2286	0.51
PHTF1	s_41749	0.597
PHTF1	s_41750	0.404
PHTF1	s_41751	0.716
TRMT61B	s_59130	1
TRMT61B	s_59131	0.754
TRMT61B	s_59132	1
TRMT61B	s_59133	0.29
TRMT61B	s_59134	0.757
TRMT61B	s_59135	0.953
LRP2	s_31560	1
LRP2	s_31561	0.362
LRP2	s_31562	0.975
LRP2	s_31563	0.475
TNNC2	s_58223	0.752
TNNC2	s_58224	0.887
DPP4	s_16754	0.667
DPP4	s_16755	1
DPP4	s_16756	0.205
DPP4	s_16757	0.743
DPP4	s_16758	0.844
KLF13	s_29618	0.882
KLF13	s_29619	0.702
KLF13	s_29620	0.947
KLF13	s_29621	1
L1CAM	s_30344	0.786
L1CAM	s_30345	0.893
L1CAM	s_30346	0.773
L1CAM	s_30347	0.388
ELP4	s_18062	1
ELP4	s_18063	0.333
ELP4	s_18064	0.319
CXXC4	s_14461	0.746
CXXC4	s_14462	1
CXXC4	s_14463	1
CXXC4	s_14464	0.47
CXXC4	s_14465	0.349
ETV5	s_18867	0.397
ETV5	s_18868	0.683
ARHGEF35	s_3445	0.0973
ARHGEF35	s_3446	0.89
EFCAB3	s_17495	0.595
EFCAB3	s_17496	1
EFCAB3	s_17497	0.957
EFCAB3	s_17498	0.634
TMBIM6	s_56927	0.4
TMBIM6	s_56928	1
TMBIM6	s_56929	0.541
TMBIM6	s_56930	0.833
GRIK1	s_24097	0.699
GRIK1	s_24098	0.921
GRIK1	s_24099	0.577
CSPP1	s_13955	0.651
CSPP1	s_13956	0.35
CSPP1	s_13957	0.939
CSPP1	s_13958	0.407
RAB10	s_45557	0.778
RAB10	s_45558	0.475
PSG11	s_44633	0.646
PSG11	s_44634	0.412
PSG11	s_44635	1
PSG11	s_44636	0.391
COQ2	s_13123	0.958
COQ2	s_13124	0.997
COQ2	s_13125	1
TFEB	s_56278	0.448
TFEB	s_56279	0.901
TFEB	s_56280	0.417
TFEB	s_56281	0.803
KRT75	s_30145	0.993
KRT75	s_30146	0.814
KRT75	s_30147	0.947
ROBO2	s_47831	0.442
ROBO2	s_47832	0.523
ROBO2	s_47833	0.806
BHLHE41	s_5396	0.382
BHLHE41	s_5397	1
BHLHE41	s_5398	0.301
BHLHE41	s_5399	0.01
KLRC4	s_29924	0.01
KLRC4	s_29925	1
KLRC4	s_29926	0.481
TRAPPC5	s_58737	1
TRAPPC5	s_58738	0.759
CCDC112	s_9477	0.877
CCDC112	s_9478	0.83
CCDC112	s_9479	1
CCDC112	s_9480	0.01
CCDC112	s_9481	0.196
CCDC112	s_9482	0.695
CCDC112	s_9483	0.625
CCDC112	s_9484	0.87
IBA57	s_26503	0.77
IBA57	s_26504	0.926
IBA57	s_26505	0.563
IBA57	s_26506	1
VAV3	s_61152	0.354
VAV3	s_61153	0.791
VAV3	s_61154	0.539
VAV3	s_61155	1
EPN3	s_18495	0.722
EPN3	s_18496	1
EPN3	s_18497	1
EPN3	s_18498	1
CCBP2	s_9427	0.834
CCBP2	s_9428	0.753
CCBP2	s_9429	0.453
SNRNP200	s_52797	1
SNRNP200	s_52798	1
SNRNP200	s_52799	0.66
SNRNP200	s_52800	0.968
SNRNP200	s_52801	1
SCAPER	s_49178	0.636
SCAPER	s_49179	0.39
SCAPER	s_49180	0.298
SCAPER	s_49181	0.667
SCAPER	s_49182	1
SCAPER	s_49183	1
SCAPER	s_49184	0.949
SCAPER	s_49185	0.805
PAQR8	s_40241	0.387
PAQR8	s_40242	1
TBC1D9	s_55599	0.804
TBC1D9	s_55600	1
ISL2	s_27938	1
ISL2	s_27939	0.943
ISL2	s_27940	0.01
ISL2	s_27941	1
CXorf57	s_14510	0.85
CXorf57	s_14511	0.74
CXorf57	s_14512	0.908
LGALS16	s_30873	0.747
LGALS16	s_30874	1
HNRNPD	s_25734	1
HNRNPD	s_25735	0.649
HNRNPD	s_25736	0.189
HNRNPD	s_25737	1
HNRNPD	s_25738	0.258
HNRNPD	s_25739	1
TEPP	s_56094	0.539
TEPP	s_56095	0.474
TEPP	s_56096	0.776
TEPP	s_56097	0.752
C1orf31	s_7279	1
C1orf31	s_7280	0.834
C1orf31	s_7281	0.417
C1orf31	s_7282	0.985
C1orf31	s_7283	0.64
C1orf31	s_7284	0.905
C1orf31	s_7285	1
STEAP1B	s_54333	0.672
STEAP1B	s_54334	0.846
STEAP1B	s_54335	0.138
NDUFA13	s_36442	0.587
NDUFA13	s_36443	1
NDUFA13	s_36444	1
NDUFA13	s_36445	0.371
SMEK1	s_52578	0.01
SMEK1	s_52579	0.985
SMEK1	s_52580	0.476
SMEK1	s_52581	1
PRRT1	s_44456	1
PRRT1	s_44457	1
PRRT1	s_44458	1
C20orf85	s_7492	0.865
C20orf85	s_7493	0.725
C20orf85	s_7494	0.954
TXNL4B	s_59971	0.677
TXNL4B	s_59972	1
TXNL4B	s_59973	0.699
GTF2F1	s_24400	0.868
GTF2F1	s_24401	0.418
GTF2F1	s_24402	0.481
FAM102A	s_19238	0.462
FAM102A	s_19239	0.42
FAM102A	s_19240	0.857
FAM102A	s_19241	0.829
FAM102A	s_19242	0.638
FAM102A	s_19243	0.753
EPB41L2	s_18366	0.772
EPB41L2	s_18367	0.595
EPB41L2	s_18368	0.411
SLC22A25	s_51263	1
SLC22A25	s_51264	0.277
SLC22A25	s_51265	0.918
SLC22A25	s_51266	0.848
C20orf78	s_7487	0.994
C20orf78	s_7488	0.416
C20orf78	s_7489	0.465
GNA12	s_23195	0.725
GNA12	s_23196	0.712
GNA12	s_23197	0.288
ACAA2	s_499	0.624
ACAA2	s_500	0.145
HTR2B	s_26363	0.704
HTR2B	s_26364	0.942
HTR2B	s_26365	0.271
HTR2B	s_26366	0.21
HTR2B	s_26367	0.901
HTR2B	s_26368	0.724
UBE2K	s_60181	0.244
UBE2K	s_60182	0.724
UBE2K	s_60183	0.573
UBE2K	s_60184	0.614
UBE2K	s_60185	0.932
UBE2K	s_60186	0.01
ZNF512	s_64053	0.763
ZNF512	s_64054	1
RASSF7	s_46282	0.407
RASSF7	s_46283	1
RASSF7	s_46284	0.598
ELP3	s_18059	0.97
ELP3	s_18060	0.954
ELP3	s_18061	0.762
CYP4F11	s_14786	1
CYP4F11	s_14787	0.606
CYP4F11	s_14788	0.709
CYP4F11	s_14789	1
XRN2	s_62334	0.967
XRN2	s_62335	0.471
XRN2	s_62336	0.893
SLCO4C1	s_52361	0.794
SLCO4C1	s_52362	0.415
SLCO4C1	s_52363	0.784
SLCO4C1	s_52364	1
NQO1	s_37769	0.858
NQO1	s_37770	0.36
NQO1	s_37771	0.504
GINS3	s_22821	1
GINS3	s_22822	1
GINS3	s_22823	0.84
GINS3	s_22824	0.56
GINS3	s_22825	0.673
NCOA4	s_36312	0.514
NCOA4	s_36313	0.372
NCOA4	s_36314	1
NCOA4	s_36315	0.934
HOXC4	s_25905	0.533
HOXC4	s_25906	0.801
HOXC4	s_25907	0.748
BRIP1	s_5767	0.824
BRIP1	s_5768	0.69
BRIP1	s_5769	1
BRIP1	s_5770	0.76
TRAPPC10	s_58718	1
TRAPPC10	s_58719	0.459
DPH1	s_16714	0.301
DPH1	s_16715	0.927
DPH1	s_16716	0.868
OTOF	s_39740	0.845
OTOF	s_39741	1
OTOF	s_39742	0.704
OTOF	s_39743	0.776
OTOF	s_39744	0.439
OTOF	s_39745	0.969
OTOF	s_39746	0.489
OTOF	s_39747	0.848
HBEGF	s_24794	0.987
HBEGF	s_24795	0.886
HBEGF	s_24796	0.841
LRRC34	s_31687	0.149
LRRC34	s_31688	0.465
LRRC34	s_31689	0.754
LRRC34	s_31690	0.336
MFGE8	s_33704	0.994
MFGE8	s_33705	1
MFGE8	s_33706	1
MFGE8	s_33707	1
CUL9	s_14329	0.812
CUL9	s_14330	1
CUL9	s_14331	0.382
CUL9	s_14332	0.0823
TGM5	s_56393	0.761
TGM5	s_56394	0.811
TGM5	s_56395	1
TGM5	s_56396	0.963
TGM5	s_56397	0.738
TMEM8A	s_57833	0.267
TMEM8A	s_57834	1
TMEM8A	s_57835	0.852
TMEM8A	s_57836	0.752
C9orf96	s_8548	0.995
C9orf96	s_8549	1
C9orf96	s_8550	0.858
YIPF3	s_62416	0.78
YIPF3	s_62417	0.974
YIPF3	s_62418	1
YIPF3	s_62419	1
RFX8	s_46970	0.629
RFX8	s_46971	0.911
RFX8	s_46972	0.655
COX8C	s_13261	0.604
COX8C	s_13262	0.703
COX8C	s_13263	0.402
COX8C	s_13264	0.818
CLDN15	s_12152	1
CLDN15	s_12153	0.849
CLDN15	s_12154	0.888
CLDN15	s_12155	1
RPS23	s_48296	0.541
RPS23	s_48297	0.202
RPS23	s_48298	0.764
BICC1	s_5405	0.521
BICC1	s_5406	0.618
BICC1	s_5407	0.829
BICC1	s_5408	0.857
ZNF547	s_64119	0.586
ZNF547	s_64120	1
ZNF547	s_64121	1
GRIN2D	s_24128	1
GRIN2D	s_24129	1
GRIN2D	s_24130	0.722
GRIN2D	s_24131	1
KRBA2	s_30002	0.939
KRBA2	s_30003	0.33
KRBA2	s_30004	0.87
KRBA2	s_30005	0.848
PEBP1	s_41241	0.611
PEBP1	s_41242	0.193
SLA2	s_50899	0.909
SLA2	s_50900	0.55
COL6A1	s_12975	0.912
COL6A1	s_12976	1
COL6A1	s_12977	0.567
PPP6R2	s_43741	1
PPP6R2	s_43742	1
PPP6R2	s_43743	0.87
REG4	s_46753	0.595
REG4	s_46754	0.614
REG4	s_46755	0.368
C12orf76	s_6382	0.224
C12orf76	s_6383	1
C12orf76	s_6384	1
C12orf76	s_6385	0.374
CXCR2	s_14433	0.851
CXCR2	s_14434	0.517
CXCR2	s_14435	0.812
JAKMIP2	s_28252	1
JAKMIP2	s_28253	0.77
JAKMIP2	s_28254	1
JAKMIP2	s_28255	0.908
H3F3A	s_24630	1
H3F3A	s_24631	0.754
GALNTL1	s_22168	0.79
GALNTL1	s_22169	0.732
GALNTL1	s_22170	0.394
DPF2	s_16706	0.694
DPF2	s_16707	1
DPF2	s_16708	0.616
DPF2	s_16709	1
